CODE,OLD_CODE,NEW_CODE,NAME,TICKETING_NAME,NUM_CODE
WT,WT,NGA,WASAYA AIRWAYS,NIGERIA AIR,0
WU,WU,TKC,TIKAL JETS AIRLINE,TIKAL JETS,795
WV,WV,,SWE FLY,SWE FLY,612
WW,WW,BMI,BMIBABY,,0
WX,WX,BCY,CITYJET,CITYJET,689
WY,WY,OAS,OMAN AIR,OMAN AIR,910
WZ,WZ,,CJSC AIRLINE 400,,309
X2,X2,,CHINA XINHUA AIRLI,CHINA XINHUA,0
X3,X3,BKL,TUIFLY,HL EXPRESS,0
X4,X4,,VANAIR LTD,VANAIR,584
X6,X6,ATA,AIRLINES REPORTING,ARC,889
X8,X8,DAP,ICARDO,AEROVIAS DAP,545
X9,X9,ISL,CITY STAR AIRLINES,CITY STAR AIR,445
XB,XB,,IATA,,0
XC,XC,KDC,K D AIR,K D AIR,0
XD,XD,,ARC,,0
XE,XE,,EXPRESSJET AIRLINE,EXPRESSJET,477
XF,XF,VLK,VLADIVOSTOK AIR,VLADIVOSTOK,277
XG,XG,,CLICKAIR,,0
XJ,XJ,MES,MESABA AIRLINES,MESABA AIR,582
XK,XK,,CCM AIRLINES,CCM AIRLINES,146
XL,XL,LNE,LANECUADOR AEROLAN,LAN ECUADOR,462
XM,XM,SMX,ALITALIA EXPRESS,ALITALIA EXP,0
XO,XO,CXJ,XINJIANG AIRLINES,XINJIANG,651
XP,XP,CXP,XTRA AIRWAYS,XTRA AIRWAYS,615
XQ,XQ,SXS,SUN EXPRESS,SUN EXPRESS,564
XR,XR,,SKYWEST AIRLINES,SKYWEST,608
XT,XT,SKT,SKYSTAR AIRWAYS,AIR EXEL NL,893
XU,XU,,AFRICAN EXPRESS AI,LINK AIRWAYS,0
XY,XY,KNE,AL-KHAYALA,AL-KHAYALA,593
XZ,XZ,,SOUTH AFRICAN EXPR,EASTAIR,0
Y2,Y2,GSM,FLYGLOBESPAN,,60
Y3,Y3,,WORLDWIDE CARGO SE,,0
Y4,Y4,VOI,VOLARIS,EAGLE AVIATN,0
Y5,Y5,,PACE AIRLINES,,0
Y6,Y6,,CAMBODIA AIRLINES,,0
Y7,Y7,,SILVERJET,SILVERJET,362
Y8,Y8,,YANGTZE RIVER EXPR,YANGTZE RIVER,0
Y9,Y9,IRK,KISH AIRLINES,TRANS AIR,780
YA,YA,,NEGO AIRLINE ONE,,0
YD,YD,MTW,MAURITANIA AIRWAYS,MAURITANIA,425
YG,YG,OTL,SOUTH AIRLINES,SOUTH AIRLINE,233
YH,YH,WCW,WEST CARIBBEAN AIR,WEST CARIBBEA,600
YI,YI,RSI,AIR SUNSHINE,AIRSUNSHINE,806
YK,YK,KYV,CYPRUS TURKISH AIR,KIBRIS,56
YM,YM,MGX,MONTENEGRO AIRLINE,MONTENEGRO AL,409
YN,YN,CRQ,AIR CREEBEC,AIR CREEBEC,219
YO,YO,MCM,HELI AIR MONACO,HELIAIRMONA,747
YR,YR,EGJ,SCENIC AIRLINES,SCENIC AIR,398
YS,YS,,REGIONAL,REGIONAL CAE,977
YT,YT,,AIR TOGO,AIR TOGO,30
YU,YU,,AEROLINEAS DOMINIC,DOMINIAIR,725
YV,YV,ASH,MESA AIRLINES,MESAAIRLINE,533
YW,YW,ANS,AIR NOSTRUM,AIR NOSTRUM,694
YX,YX,MEP,MIDWEST AIRLINES,MIDWEST,453
Z2,Z2,BAQ,BRAVO AIR CONGO BZ,STYRIANSPIRIT,0
Z3,Z3,,PROMECH,,0
Z4,Z4,OOM,ZOOM AIRLINES,,0
Z5,Z5,,GMG AIRLINES,GMG AIRLINES,9
Z6,Z6,UDN,DNIEPROAVIA,DNIEPROAVIA,181
Z7,Z7,,EASEON AIR,,0
Z8,Z8,,AMASZONAS,,464
Z9,Z9,DCP,DELTA CONNECTION,AERO ZAMBIA,0
ZA,ZA,,INTERAVIA AIRLINES,INTERAVIA,433
ZB,ZB,MON,MONARCH AIRLINES,MONARCH,974
ZC,ZC,RSN,ROYAL SWAZI AIRWAY,R.SWAZI,141
ZD,ZD,,DOLPHIN AIR,FLYING DANDY,338
ZE,ZE,AZE,LINEAS AEREAS AZTE,LINEAS AEREAS,994
ZF,ZF,,ATLANTIC AIRLINES,AIRBORNE,0
ZG,ZG,,VIVA MACAU LTD,AIR EXPRESS,887
ZH,ZH,CSZ,SHENZHEN AIRLINES,SHENZHEN AIRL,479
ZI,ZI,AAF,AIGLE AZUR,AIGLE AZUR,439
ZJ,ZJ,TED,TEDDY AIR,TEDDY AIR,0
ZK,ZK,GLA,GREAT LAKES AVIATI,GREAT LAKES,846
ZL,ZL,,REGIONAL EXPRESS,REGIONAL EXP,899
ZN,ZN,NAY,NAYSA,AIR BOURBON,595
ZQ,ZQ,,CARIBBEAN SUN AIRL,CARRIBEAN SUN,521
ZU,ZU,HCY,HELIOS AIRWAYS,HELIOS AIR,32
ZV,ZV,AMW,AIR MIDWEST,AIR MIDWEST,471
ZW,ZW,AWI,AIR WISCONSIN,AIRWISCONSI,303
ZX,ZX,,ZOOM AIRLINES,,0
ZY,ZY,ADE,ADA AIR,ADA AIR,121
ZZ,ZZ,,AIRLINE SERVICE,,0
QW,QW,BWG,BLUE WINGS,,49
6I,6I,IBZ,INTL BUSINESS AIRL,,0
IX,IX,,AIR INDIA CHARTERS,,0
J9,J9,,JAZEERA AIRWAYS,,0
VI,VI,,VOLGA DNEPR AIRLIN,,412
7I,7I,,INSEL AIR INTERNAT,INSEL AIR,958
7J,7J,,TAJIK AIR,TAJIK AIR,502
EB,EB,,PULLMANTUR AIR,PULLMANTUR,460
SJ,SJ,SJY,PT SRIWIJAYA AIR,,0
VE,VE,EUJ,VOLARE SPA,,0
I3,I3,,IVOIRIENNE DE TRAN,,0
I8,I8,,ABORIGINAL AIR SER,ABORIGINALAIR,0
9D,9D,,TOUMAI AIR TCHAD,TOUMAI AIR,371
I2,I2,,MUNICH AIRLINES,,0
SO,SO,OSL,SOSOLISO AIRLINES,,0
7Y,7Y,FCR,FLYING CARPET,,0
8A,8A,,ATLAS BLUE,,380
NN,NN,MOV,VIM AIRLINES,VIM AIRLINES,823
8R,8R,,SOL LINEAS AEREAS,,300
B5,B5,,EAST AFRICAN SAFAR,SAFARI AIR,305
FO,FO,,AIRLINES OF TASMAN,,0
IV,IV,JET,WIND JET,,0
JET,IV,JET,WIND JET,,0
BMI,WW,BMI,BMIBABY,,0
CRD,QC,CRD,AIR CORRIDOR,AIR CORRIDOR,766
6M,6M,,AIR MINAS LINHAS A,,0
LZB,FB,LZB,BULGARIA AIR,BALKAN AIR TO,623
YC,YC,,CAVERTON HELICOPTE,,0
RV,RV,CPN,CASPIAN AIRLINES,CASPIAN AIR,879
W6,W6,WZZ,WIZZ AIR HUNGARY,,0
U3,U3,AIA,AVIES,,0
VY,VY,VLG,VUELING AIRLINES,VUELING,0
2X,2X,XYA,AMADEUS TWO,AMADEUS TWO,799
6X,6X,XYB,AMADEUS SIX,AMADEUS SIX,172
7X,7X,XYC,AMADEUS SEVEN,AMADEUS SEVEN,791
8X,8X,XYD,AMADEUS EIGHT,AMADEUS EIGHT,798
DN,DN,,AIR DECCAN,,0
ED,ED,,AIRBLUE,AIRBLUE,484
FC,FC,,FINNCOMM AIRLINES,FINNCOMM,0
KD,KD,KNI,KD AVIA,KD AVIA,93
OG,OG,OTG,ONE TWO GO AIRLINE,OCEAN AIRWAYS,908
S8,S8,,NYASA EXPRESS,,0
8S,8S,,SHUN TAK CHINA,,802
5B,5B,,CHANCHANGI AIRLINE,,0
9I,9I,TKY,THAI SKY AIRLINES,,852
AAF,ZI,AAF,AIGLE AZUR,AIGLE AZUR,439
AAH,AQ,AAH,ALOHA AIRLINES,ALOHA AIR,327
AAL,AA,AAL,AMERICAN AIRLINES,AMERICAN,1
AAR,OZ,AAR,ASIANA AIRLINES,ASIANA,988
AAW,8U,AAW,AFRIQIYAH AIRWAYS,AFRIQIYAH AIR,546
ABH,DF,ABH,AEROLINEAS DE BALE,,59
ABS,9T,ABS,TRAVELSPAN GT INC,ATHABASKA,909
ACA,AC,ACA,AIR CANADA,AIR CANADA,14
ACI,SB,ACI,AIRCALIN,CAL.INT,63
ADE,ZY,ADE,ADA AIR,ADA AIR,121
ADO,HD,ADO,HOKKAIDO INTERNATI,,0
ADR,JP,ADR,ADRIA AIRWAYS,ADRIA,165
AEA,UX,AEA,AIR EUROPA,AIR EUROPA,996
AEE,A3,AEE,AEGEAN AIRLINES,AEGEAN AIR,390
AEU,5W,AEU,ASTRAEUS,EXECUTIVE EXP,0
AEW,VV,AEW,AEROSVIT AIRLINES,AEROSWEET,870
AFG,FG,AFG,ARIANA AFGHAN AIRL,ARIANA,255
AFL,SU,AFL,AEROFLOT,AEROFLOT,555
AFR,AF,AFR,AIR FRANCE,AIR FRANCE,57
AHY,J2,AHY,AZERBAIJAN AIRLINE,AZERBAIJAN AI,771
AIA,U3,AIA,AVIES,,0
AIC,AI,AIC,AIR INDIA,AIR INDIA,98
AIE,3H,AIE,AIR INUIT,,466
AIZ,IZ,AIZ,ARKIA,ARKIA ISRAELI,238
AJM,JM,AJM,AIR JAMAICA,AIR JAMAICA,201
AJX,NQ,AJX,AIR JAPAN COMPANY,,0
AKK,6L,AKK,AKLAK AIR,AKLAK AIR,709
AKT,V2,AKT,KARAT JSC,KARAT JSC,501
AKW,G6,AKW,ANGKOR AIRWAYS,ANGKOR AIR,397
ALK,UL,ALK,SRILANKAN AIRLINES,SRILANKAN AIR,603
ALU,C2,ALU,AIR LUXOR STP,AIR LUXOR STP,107
ALX,EO,ALX,HEWA BORA AIRWAYS,HEWA BORA,663
ALZ,3A,ALZ,KENOSHA AERO INC,MAFIRA AIR,0
AMC,KM,AMC,AIR MALTA,AIR MALTA,643
AML,QM,AML,AIR MALAWI,AIR MALAWI,167
AMT,TZ,AMT,ATA AIRLINES, INC,ATA-AMTRNSAIR,366
AMU,NX,AMU,AIR MACAU,AIR MACAU,675
AMW,ZV,AMW,AIR MIDWEST,AIR MIDWEST,471
AMX,AM,AMX,AEROMEXICO,AEROMEXICO,139
AOG,2D,AOG,AERO VIP,AEROVIP,561
ARE,4C,ARE,AIRES,AIRES,35
ARG,AR,ARG,AEROLINEAS ARGENTI,ARGENTINAS,44
ASA,AS,ASA,ALASKA AIRLINES,ALASKA A/L,27
ASD,4D,ASD,AIR SINAI,AIR SINAI,903
ASH,YV,ASH,MESA AIRLINES,MESAAIRLINE,533
ASN,IU,ASN,HEVI LIFT (PNG) PT,AIR STRAUBING,0
ASZ,OB,ASZ,ASTRAKHAN AIRLINES,ASTRAKHAN AIR,562
ATA,X6,ATA,AIRLINES REPORTING,ARC,889
ATC,TC,ATC,AIR TANZANIA,AIRTANZANIA,197
AUA,OS,AUA,AUSTRIAN,AUSTRIANAIR,257
AUB,IQ,AUB,AUGSBURG AIRWAYS,,614
AUL,5N,AUL,AEROFLOT-NORD,AEROFLOT-NORD,316
AUR,GR,AUR,AURIGNY AIR SERVIC,AURIGNY AIR,924
AUT,AU,AUT,AUSTRAL LINEAS AER,AUSTRAL L.A,143
AVA,AV,AVA,AVIANCA,AVIANCA,134
AVN,NF,AVN,AIR VANUATU,AIR VANUATU,218
AWE,HP,AWE,AMERICA WEST AIRLI,AMERICAWEST,401
AWI,ZW,AWI,AIR WISCONSIN,AIRWISCONSI,303
AWQ,QZ,AWQ,PT INDONESIA AIRAS,PTINDAIRASIA,975
AWU,7E,AWU,SYLT AIR GMBH,SYLT AIR GMBH,0
AXM,AK,AXM,AIRASIA SDN BHD,AIRASIASDNBHD,807
AXX,M4,AXX,NAYZAK AIR TRANSPO,AVIOIMPEX,728
AYZ,3G,AYZ,ATLANT-SOYUZ AIRLI,,411
AZA,AZ,AZA,ALITALIA,ALITALIA,55
AZE,ZE,AZE,LINEAS AEREAS AZTE,LINEAS AEREAS,994
AZW,UM,AZW,AIR ZIMBABWE,AIRZIMBABWE,168
BAG,DI,BAG,DBA,DBA,944
BAW,BA,BAW,BRITISH AIRWAYS,BRITISH A/W,125
BBB,VD,BBB,SWEDJET AIRWAYS,,0
BBC,BG,BBC,BIMAN BANGLADESH A,BIMAN,997
BBO,F7,BBO,FLYBABOO,FLY BABOO,33
BCY,WX,BCY,CITYJET,CITYJET,689
BEE,BE,BEE,FLYBE,BRIT EUROP,267
BER,AB,BER,AIR BERLIN,AIR BERLIN,745
BHS,UP,BHS,BAHAMASAIR,BAHAMASAIR,111
BIA,TI,BIA,ANGKOR AIRLINES,BALTIC INT.,0
BIH,BS,BIH,BRITISH INTERNATIO,GAMAIR LTD.,0
BKL,X3,BKL,TUIFLY,HL EXPRESS,0
BKP,PG,BKP,BANGKOK AIRWAYS,BANGKOK AIR,829
BLF,KF,BLF,BLUE1,BLUE 1,142
BLR,DH,BLR,INDEPENDENCE AIR,,480
BLS,JV,BLS,BEARSKIN AIRLINES,BEARSKIN AIR,632
BLV,B3,BLV,BELLVIEW AIRLINES,BELLVIEW AIR,208
BLX,6B,BLX,TUIFLY NORDIC,BRITANNIA,951
BOT,BP,BOT,AIR BOTSWANA,AIR BOTSWAN,636
BPA,BV,BPA,BLUE PANORAMA AIRL,BLUE PANORAMA,4
BRG,8E,BRG,BERING AIR,BERING AIR,0
BRU,B2,BRU,BELAVIA,BELAVIA,628
BRZ,E5,BRZ,SAMARA AIRLINES,SAMARA AIRL,906
BSY,GQ,BSY,BIG SKY AIRLINES,BIG SKY AIR,387
BTC,V9,BTC,BASHKIRIAN AIRLINE,BASHKIR AIR,940
BTV,7P,BTV,BATAVIA AIR,APA INTL,671
BVT,J8,BVT,BERJAYA AIR,BERJAYA AIR,801
BWA,BW,BWA,CARIBBEAN AIRLINES,CARIBBEAN AIR,106
BWG,QW,BWG,BLUE WINGS,,49
BZH,DB,BZH,BRIT AIR,BRIT AIR,750
CAL,CI,CAL,CHINA AIRLINES,CHINA AIR,297
CAV,MO,CAV,CALM AIR INTERNATI,CALM AIR INTL,622
CAW,MN,CAW,COMAIR,COMAIR,161
CAY,KX,CAY,CAYMAN AIRWAYS,CAYMAN AIR,378
CBE,QA,CBE,CLICK GRUPO MEXICA,AEROCARIBE,723
CCA,CA,CCA,AIR CHINA,AIR CHINA,999
CCP,MG,CCP,CHAMPION AIR,MGM GRAND,0
CDG,SC,CDG,SHANDONG AIRLINES,SHANDONG AIRL,324
CEB,5J,CEB,CEBU AIR,CEBU AIR,203
CES,MU,CES,CHINA EASTERN AIRL,CHINA EAST,781
CFG,DE,CFG,CONDOR,CONDOR,881
CHH,HU,CHH,HAINAN AIRLINES,HAINAN AIR,880
CHK,OP,CHK,CHALK OCEAN AIRWAY,PAN AM AIR,370
CHP,6A,CHP,AVIACSA,AVIACSA,95
CHQ,RP,CHQ,CHAUTAUQUA AIRLINE,,363
CIM,QI,CIM,CIMBER AIR,CIMBER AIR,647
CIR,5F,CIR,ARCTIC CIRCLE AIR,BONAIRE AIR,0
CJA,C6,CJA,CANJET AIRLINES,BRIGHT ARL,0
CLH,CL,CLH,LUFTHANSA CITYLINE,TEMPELHOF,683
CMI,CS,CMI,CONTINENTAL MICRON,CONTINL MICRO,596
CMP,CM,CMP,COPA AIRLINES,COPA PANAMENA,230
CNW,WH,CNW,CHINA NORTHWEST AI,CHINA NW,783
COA,CO,COA,CONTINENTAL AIRLIN,CONTINENTAL,5
COM,OH,COM,COMAIR INC.,COMAIR,886
CPA,CX,CPA,CATHAY PACIFIC,CATHAY PAC.,160
CPN,RV,CPN,CASPIAN AIRLINES,CASPIAN AIR,879
CSA,OK,CSA,CZECH AIRLINES CSA,CZECH AIRLINE,64
CSN,CZ,CSN,CHINA SOUTHERN AIR,CHINA SOUTH,784
CSQ,II,CSQ,IBC AIRWAYS INC,,175
CST,BX,CST,COAST AIR,COAST AIR,970
CTN,OU,CTN,CROATIA AIRLINES,CROATIA,831
CUB,CU,CUB,CUBANA DE AVIACION,CUBANA,136
CVC,J7,CVC,CENTRE-AVIA AIRLIN,CENTRE AVIA,601
CXA,MF,CXA,XIAMEN AIRLINES,XIAMEN AIR,731
CXJ,XO,CXJ,XINJIANG AIRLINES,XINJIANG,651
CXP,XP,CXP,XTRA AIRWAYS,XTRA AIRWAYS,615
CXT,DQ,CXT,COASTAL AIR TRANSP,COASTAL AIR,457
CYH,3Q,CYH,CHINA YUNNAN AIRLI,YUNNAN AIR,592
CYP,CY,CYP,CYPRUS AIRWAYS,CYPRUS AIR,48
DAE,D5,DAE,DAUAIR,DAUAIR,0
DD,DD,,NOK AIR,,0
DAH,AH,DAH,AIR ALGERIE,AIR ALGERIE,124
DAL,DL,DAL,DELTA AIR LINES,DELTA AIR,6
DAN,DM,DAN,STERLING BLUE,STERLING BLUE,349
DAP,X8,DAP,ICARDO,AEROVIAS DAP,545
DAT,SN,DAT,BRUSSELS AIRLINES,BRUSSELS AIR,82
YQ,YQ,POT,POLET AIRLINES,POLET AIRLINE,342
DBB,2A,DBB,DEUTSCHE BAHN AG,DEUTSCHE BAHN,0
DIR,AW,DIR,P.T. DIRGANTARA AI,,0
DJB,D8,DJB,DJIBOUTI AIRLINES,,0
DLA,EN,DLA,AIR DOLOMITI,AIR DOLOMITI,101
DLH,LH,DLH,LUFTHANSA,LUFTHANSA,220
DMO,E3,DMO,DOMODEDOVO AIRLINE,DOMODEDOVO,497
DNM,3D,DNM,DENIM AIR,DENIM AIR,490
DNV,D9,DNV,AEROFLOT-DON,AEROFLOT-DON,733
DRK,KB,DRK,DRUK AIR,DRUK-AIR,787
DSR,WD,DSR,DAIRO AIR SERVICES,DAS AIR,761
DTA,DT,DTA,TAAG,TAAG,118
DTR,DX,DTR,DANISH AIR TRANSPO,DANISH AIR,243
EAF,E7,EAF,FLY EUROPEAN,FLY EUROPEAN,158
EAL,EA,EAL,EUROPEAN AIR EXPRE,EUROPEAN,24
ECA,UI,ECA,EUROCYPRIA AIRLINE,,0
ECE,4F,ECE,AIR CITY,AIR-CITY,0
EEZ,GJ,EEZ,EUROFLY SPA,EUROFLY,736
EGJ,YR,EGJ,SCENIC AIRLINES,SCENIC AIR,398
EGU,H7,EGU,EAGLE AIR,,0
EIN,EI,EIN,AER LINGUS,AER LINGUS,53
EIX,2E,EIX,SMOKEY BAY AIR,EI AIR EXPORT,0
ELA,DK,ELA,EASTLAND AIR,EASTLAND AIR,0
ELG,E8,ELG,ALPI EAGLES,ALPI EAGLES,789
ELL,OV,ELL,ESTONIAN AIR,ESTONIAN AIR,960
ELO,K2,ELO,EUROLOT,KYRGHYZSTAN,0
ELY,LY,ELY,EL AL ISRAEL AIRLI,EL AL,114
EQL,KY,EQL,LINHAS AEREAS DE S,,980
ERG,7U,ERG,AVIAENERGO,,765
ERH,7H,ERH,ERA AVIATION,ERA AVIATION,808
ERT,B8,ERT,ERITREAN AIRLINES,ERITREAN AIR,637
ETH,ET,ETH,ETHIOPIAN AIRLINES,ETHIOPIAN,71
ETS,2Q,ETS,STOCKHOLMSPLANET,STOCKHOLMSPLT,0
EUJ,VE,EUJ,VOLARE SPA,,0
EVA,BR,EVA,EVA AIR,EVA AIRWAYS,695
EWG,EW,EWG,EUROWINGS,EUROWINGS,104
EXD,A2,EXD,CIELOS DEL PERU,,529
EZY,U2,EZY,EASYJET,EASYJET,0
FAB,7F,FAB,FIRST AIR,FIRST AIR,245
FAJ,PC,FAJ,AIR FIJI,FIJI AIR,677
FCN,IH,FCN,FALCON AIR,FALCON AIR,759
FEA,EF,FEA,FAR EASTERN AIR TR,FAR EASTERN,265
FIN,AY,FIN,FINNAIR,FINNAIR,105
FJI,FJ,FJI,AIR PACIFIC,AIR PACIFIC,260
FLG,9E,FLG,NORTHWEST AIRLINK,EXPRESS AIR,430
FLI,RC,FLI,ATLANTIC AIRWAYS,ATL.AIRWAYS,767
FLR,QG,FLR,DELTA AIR TRANSPOR,PRIMA AIR,574
4S,4S,,FINALAIR CONGO,AEROHONDURAS,0
4T,4T,,BELAIR AIRLINES,RUSSIAN AIR,0
4U,4U,GWI,GERMANWINGS,GERMANWINGS,0
4V,4V,,LACBRAVO,,408
4W,4W,VNA,WARBELOWS AIR VENT,WARBELOW,0
4X,4X,ANX,ATLANTIC EXPRESS A,,0
4Y,4Y,,YUTE AIR ALASKA,,0
4Z,4Z,,SOUTH AFRICAN AIRL,SA AIRLINK,749
5C,5C,,NATURE AIR,,0
5D,5D,,AEROLITORAL S.A. D,,642
5E,5E,,SIAM GA,BASE REGIONAL,0
5F,5F,CIR,ARCTIC CIRCLE AIR,BONAIRE AIR,0
5G,5G,SSV,SKYSERVICE AIRLINE,SKYSERVICE,884
5H,5H,FFV,FIVE FOURTY AVIATI,KATO AIR,540
5J,5J,CEB,CEBU AIR,CEBU AIR,203
5K,5K,ODS,ODESSA AIRLINES,SAC ODESSA,654
5L,5L,,AEROSUR,AEROSUR,275
5M,5M,,SIBAVIATRANS,JOINT STOCK,842
5N,5N,AUL,AEROFLOT-NORD,AEROFLOT-NORD,316
5P,5P,,SKY EUROPE HUNGARY,PENTA,0
5Q,5Q,,KEENAIR CHARTER LT,,0
5R,5R,KAJ,KARTHAGO AIRLINES,KARTHAGO AIR,915
5S,5S,PSV,SERVICIOS AEREOS P,,0
5T,5T,,CANADIAN NORTH,CANADIANNORTH,518
5U,5U,LDE,LINEAS AEREAS DEL,L A D E,22
5V,5V,UKW,LVIV AIRLINES,LVIV AIRLINES,62
5W,5W,AEU,ASTRAEUS,EXECUTIVE EXP,0
5Y,5Y,IOS,EXPRESS RAIL LINK,EXPRESS RAIL,0
5Z,5Z,,BISMILAH AIRLINES,BISMILAH AIRL,541
6A,6A,CHP,AVIACSA,AVIACSA,95
6B,6B,BLX,TUIFLY NORDIC,BRITANNIA,951
6C,6C,,CENTRAFRIQUE AIR E,CAPE SMYTHE,0
6D,6D,PAS,PT PELITA AIR SERV,ALASKA ISL,19
6E,6E,,INTER GLOBE AVIATI,MALMO AVIAT,0
6G,6G,FDY,GULFSTREAM AIR CHA,AIR WALES,0
6H,6H,ISR,ISRAIR AIRLINES,ISRAIR AIRLIN,818
6J,6J,,JUBBA AIRWAYS,,0
6K,6K,RIT,ASIAN SPIRIT,KORSAR,0
6L,6L,AKK,AKLAK AIR,AKLAK AIR,709
6N,6N,NRD,NORDIC AIRWAYS,NORDICAIRWAYS,0
6P,6P,,CLUBAIR,CLUBAIR,645
6Q,6Q,SLL,SLOVAK AIRLINES,SLOVAK ARLNS,921
6R,6R,DRU,MIRNY AIR,,0
6S,6S,,KATO AIRLINE,KATO AIRLINES,0
6T,6T,,AIR MANDALAY,AIR MANDALAY,0
6U,6U,UKR,AIR UKRAINE,AIR UKRAINE,891
6W,6W,,SARATOV AIRLINES,,26
6Y,6Y,LTC,LATCHARTER AIRLINE,,0
6Z,6Z,,VAN AIR EUROPE,UKRAINIAN,0
7A,7A,NXA,AIR NEXT,HAINES AIR,0
7B,7B,KJC,KRAS AIR,KRASNOYARSK,499
7C,7C,JJA,JEJU AIR,COL.PACIFIC,0
7D,7D,UDC,AIRCOMPANY DONBASS,DONBASS,897
7E,7E,AWU,SYLT AIR GMBH,SYLT AIR GMBH,0
7F,7F,FAB,FIRST AIR,FIRST AIR,245
7G,7G,,STAR FLYER,,0
7H,7H,ERH,ERA AVIATION,ERA AVIATION,808
7K,7K,KGL,KOGALYMAVIA AIRLIN,KOGALYMAVIA,313
7M,7M,AAG,ATLANTIC AIR TRANS,AEROMONTERR,0
7N,7N,,INLAND AVIATION SE,,0
7P,7P,BTV,BATAVIA AIR,APA INTL,671
7Q,7Q,PWD,PAN AM WORLD AIRWA,,110
7S,7S,RYA,ARCTIC TRANSPORTAT,,0
7U,7U,ERG,AVIAENERGO,,765
7V,7V,,PELICAN AIR SERVIC,PELICAN AIR,739
8B,8B,,CARIBBEAN STAR AIR,CARRIBEAN AIR,557
8D,8D,,SERVANT AIR,,0
8E,8E,BRG,BERING AIR,BERING AIR,0
8F,8F,STP,STP AIRWAYS,HANAIR,470
8H,8H,HWY,HIGHLAND AIRWAYS,HELIFRANCE,0
8J,8J,,JET4YOU.COM,JET4YOU.COM,0
8M,8M,,MYANMAR AIRWAYS IN,MYANMAR,599
8N,8N,,BARENTS AIRLINK,BARENTS AIR,0
8O,8O,,WEST COAST AIR,WEST COAST,222
8P,8P,PCO,PACIFIC COASTAL AI,PAC.COASTAL,905
8Q,8Q,,BAKER AVIATION,,0
8T,8T,,AIR TINDI LTD,,744
8U,8U,AAW,AFRIQIYAH AIRWAYS,AFRIQIYAH AIR,546
8V,8V,,WRIGHT AIR SERVICE,WRIGHT AIR,0
8W,8W,PWF,PRIVATE WINGS,PRIVATE WINGS,0
8Y,8Y,PBU,AIR BURUNDI,AIRBURUNDI,0
8Z,8Z,WVL,WIZZ AIR BULGARIA,ALASA ISLAND,0
9A,9A,,VISAA AIRWAYS,AIRATLANTIC,0
9B,9B,,ACCESRAIL,ACCESRAIL,450
9C,9C,,SPRING AIRLINES,HAITI CARIBB,89
9E,9E,FLG,NORTHWEST AIRLINK,EXPRESS AIR,430
9F,9F,,EUROSTAR,EUROSTAR UK,814
9G,9G,,9G RAIL LTD,,0
9H,9H,,DUTCH ANTILLES EXP,DAE,493
9K,9K,KAP,CAPE AIR,CAPE AIR,306
9L,9L,,COLGAN AIR,COLGAN AIR,426
9M,9M,GLR,CENTRAL MOUNTAIN A,CNTRL MTN AIR,634
9N,9N,,SATENA,,0
9P,9P,,PALAU NATIONAL AIR,,816
9Q,9Q,PBA,PB AIR,PB AIR,543
KQA,KQ,KQA,KENYA AIRWAYS,KENYAAIRWAY,706
KRP,V3,KRP,CARPATAIR,VEG AIR SRL,21
KRS,N5,KRS,SKAGWAY AIR SERVIC,,0
KSD,KW,KSD,KELOWNA FLIGHTCRAF,,0
KYV,YK,KYV,CYPRUS TURKISH AIR,KIBRIS,56
LAA,LN,LAA,LIBYAN AIRLINES,LIBYAN AIR,148
LAB,JF,LAB,LAB FLYING SERVICE,LAB FLYING S,510
LAJ,KJ,LAJ,BMED,BMED,436
LAL,WJ,LAL,AIR LABRADOR,LABRADORAIR,927
LAM,TM,LAM,LAM MOZAMBIQUE,LAM,68
LAN,LA,LAN,LAN AIRLINES,LAN-CHILE,45
LAO,QV,LAO,LAO AIRLINES,LAO AIRLINES,627
LAP,PZ,LAP,TAM MERCOSUR,LAPSA,692
LBC,LV,LBC,ALBANIAN AIRLINES,ALBANIAN AIR,639
LBT,BJ,LBT,NOUVELAIR,NOUVELAIR,796
LGL,LG,LGL,LUXAIR,LUXAIR,149
LIA,LI,LIA,LIAT,LIAT,140
LID,D4,LID,ALIDAUNIA S.R.L.,,0
LIL,TE,LIL,FLYLAL,FLYLAL,874
LNE,XL,LNE,LANECUADOR AEROLAN,LAN ECUADOR,462
LOF,AX,LOF,AMERICAN CONNECTIO,AA CONNECTION,414
LOT,LO,LOT,LOT POLISH AIRLINE,LOT,80
LPE,LP,LPE,LANPERU,LAN PERU,544
LPV,A6,LPV,AIR ALPS AVIATION,ALPS AVIATION,527
LRC,LR,LRC,LACSA,L A C S A,133
LRS,RZ,LRS,SANSA,PAN AM EXP,0
LTC,6Y,LTC,LATCHARTER AIRLINE,,0
LTP,QJ,LTP,LATPASS AIRLINES,,937
LTU,LT,LTU,LTU INTL AIRWAYS,LTU,266
LVG,LM,LVG,LIVINGSTON,LIVINGSTON,857
LXR,LK,LXR,AIR LUXOR,AIR LUXOR,40
LYN,QH,LYN,KYRGYZSTAN AIR COM,KYRGYZSTAN,138
MAH,MA,MAH,MALEV HUNGARIAN AI,MALEV,182
MAK,IN,MAK,MACEDONIAN AIRLINE,MACEDONIANAIR,367
MAS,MH,MAS,MALAYSIA AIRLINES,MALAYSIA,232
MAU,MK,MAU,AIR MAURITIUS,AIR MAURITI,239
